,preds
0,0
1,1
2,0
3,0
4,2
5,0
6,0
7,0
8,1
9,1
10,0
11,2
12,2
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,2
22,0
23,0
24,2
25,0
26,0
27,2
28,1
29,1
30,2
31,1
32,0
33,1
34,0
35,0
36,1
37,2
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,2
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,2
61,1
62,1
63,2
64,0
65,0
66,0
67,0
68,0
69,1
70,2
71,2
72,1
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,2
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,2
91,2
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,2
112,0
113,1
114,0
115,0
116,2
117,0
118,0
119,2
120,2
121,0
122,0
123,0
124,2
125,1
126,1
127,1
128,2
129,1
130,0
131,2
132,1
133,0
134,0
135,1
136,2
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,2
153,2
154,0
155,1
156,0
157,0
158,0
159,2
160,0
161,1
162,0
163,0
164,0
165,0
166,2
167,1
168,1
169,2
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,1
179,0
180,0
181,0
182,1
183,0
184,0
185,1
186,1
187,1
188,1
189,2
190,1
191,1
192,0
193,1
194,2
195,2
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,2
223,1
224,0
225,0
226,2
227,0
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,2
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,0
250,0
251,1
252,0
253,1
254,1
255,0
256,1
257,1
258,1
259,0
260,1
261,1
262,0
263,0
264,0
265,1
266,0
267,1
268,2
269,0
270,1
271,1
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,1
285,1
286,0
287,0
288,0
289,2
290,1
291,0
292,0
293,0
294,1
295,1
296,0
297,1
298,1
299,1
300,1
301,2
302,2
303,0
304,2
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,1
319,1
320,2
321,2
322,0
323,0
324,1
325,0
326,2
327,0
328,0
329,0
330,0
331,1
332,2
333,2
334,2
335,1
336,1
337,1
338,0
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,0
356,2
357,0
358,0
359,0
360,1
361,1
362,1
363,2
364,0
365,0
366,2
367,0
368,2
369,0
370,0
371,0
372,2
373,0
374,1
375,1
376,1
377,0
378,2
379,2
380,0
381,0
382,1
383,0
384,0
385,2
386,1
387,0
388,0
389,0
390,0
391,2
392,0
393,1
394,2
395,1
396,0
397,0
398,1
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,2
407,1
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,1
416,0
417,2
418,1
419,0
420,2
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,0
446,2
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,2
459,0
460,0
461,0
462,1
463,1
464,2
465,0
466,0
467,2
468,0
469,0
470,0
471,2
472,1
473,0
474,0
475,2
476,0
477,0
478,0
479,0
480,2
481,2
482,1
483,0
484,2
485,0
486,2
487,0
488,0
489,1
490,1
491,0
492,2
493,1
494,1
495,0
496,0
497,1
498,0
499,2
500,0
501,0
502,1
503,0
504,0
505,2
506,0
507,2
508,1
509,0
510,2
511,1
512,0
513,0
514,0
515,0
516,2
517,1
518,0
519,1
520,1
521,0
522,2
523,2
524,1
525,0
526,1
527,2
528,0
529,0
530,0
531,0
532,0
533,1
534,2
535,2
536,0
537,1
538,2
539,0
540,1
541,2
542,1
543,1
544,1
545,1
546,2
547,0
548,0
549,1
550,1
551,0
552,0
553,2
554,1
555,1
556,0
557,2
558,0
559,1
560,0
561,2
562,1
563,0
564,2
565,1
566,1
567,0
568,0
569,0
570,0
571,2
572,1
573,1
574,0
575,0
576,1
577,0
578,1
579,1
580,0
581,1
582,2
583,0
584,0
585,0
586,1
587,1
588,1
589,1
590,1
591,1
592,2
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,0
602,1
603,1
604,0
605,0
606,1
607,0
608,2
609,0
610,0
611,1
612,0
613,1
614,1
615,0
616,2
617,0
618,1
619,1
620,0
621,1
622,0
623,0
624,2
625,1
626,1
627,0
628,1
629,1
630,0
631,0
632,0
633,0
634,0
635,1
636,1
637,1
638,1
639,1
640,0
641,2
642,0
643,1
644,0
645,0
646,0
647,1
648,1
649,0
650,0
651,1
652,0
653,0
654,1
655,0
656,1
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,1
666,1
667,0
668,1
669,0
670,0
671,1
672,0
673,0
674,0
675,1
676,1
677,2
678,2
679,1
680,2
681,1
682,0
683,1
684,0
685,0
686,0
687,0
688,1
689,2
690,1
691,2
692,1
693,2
694,0
695,2
696,1
697,1
698,1
699,2
700,2
701,2
702,2
703,1
704,0
705,2
706,0
707,0
708,0
709,1
710,2
711,0
712,0
713,0
714,2
715,1
716,0
717,0
718,2
719,2
720,1
721,1
722,0
723,0
724,0
725,1
726,0
727,2
728,1
729,1
730,0
731,1
732,0
733,1
734,2
735,0
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,0
744,0
745,2
746,1
747,1
748,2
749,1
750,1
751,0
752,0
753,0
754,1
755,1
756,1
757,0
758,1
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,2
767,2
768,0
769,1
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,2
778,2
779,1
780,0
781,0
782,1
783,0
784,0
785,2
786,1
787,0
788,0
789,0
790,0
791,0
792,2
793,1
794,0
795,0
796,0
797,0
798,1
799,1
800,0
801,1
802,1
803,0
804,0
805,1
806,1
807,0
808,2
809,0
810,0
811,1
812,0
813,1
814,2
815,0
816,2
817,0
818,0
819,0
820,1
821,0
822,1
823,2
824,2
825,0
826,0
827,0
828,1
829,1
830,1
831,2
832,1
833,0
834,0
835,2
836,0
837,1
838,1
839,2
840,1
841,2
842,1
843,1
844,0
845,1
846,0
847,0
848,0
849,0
850,1
851,2
852,0
853,0
854,2
855,1
856,1
857,1
858,0
859,2
860,0
861,0
862,1
863,1
864,0
865,0
866,0
867,1
868,1
869,0
870,1
871,1
872,0
873,1
874,0
875,2
876,1
877,0
878,0
879,1
880,2
881,1
882,1
883,1
884,2
885,0
886,2
887,1
888,1
889,2
890,1
891,1
892,0
893,2
894,0
895,0
896,0
897,0
898,2
899,2
900,1
901,0
902,0
903,1
904,2
905,0
906,1
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,2
915,1
916,1
917,2
918,0
919,1
920,0
921,2
922,1
923,1
924,1
925,2
926,0
927,0
928,1
929,1
930,0
931,1
932,0
933,0
934,0
935,0
936,0
937,1
938,1
939,2
940,1
941,0
942,1
943,0
944,0
945,0
946,2
947,1
948,1
949,2
950,0
951,2
952,0
953,0
954,0
955,0
956,0
957,1
958,0
959,1
960,0
961,2
962,0
963,1
964,0
965,1
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,2
975,2
976,0
977,0
978,1
979,0
980,0
981,1
982,0
983,1
984,2
985,1
986,1
987,1
988,0
989,0
990,1
991,0
992,1
993,0
994,0
995,1
996,0
997,0
998,1
999,2
1000,0
1001,0
1002,0
1003,1
1004,0
1005,0
1006,0
1007,1
1008,0
1009,1
1010,0
1011,0
1012,0
1013,1
1014,1
1015,1
1016,1
1017,2
1018,1
1019,1
1020,0
1021,1
1022,0
1023,1
1024,1
1025,0
1026,0
1027,1
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,2
1044,1
1045,0
1046,0
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,1
1054,0
1055,0
1056,0
1057,1
1058,1
1059,1
1060,1
